Column1,Column2
https://bblais.github.io/glenn-beck-on-science.html,https://bblais.github.io/posts/2010/Nov/22/glenn-beck-on-science
https://bblais.github.io/is-x2-positive-or-negative.html,https://bblais.github.io/posts/2010/Nov/22/is-x2-positive-or-negative
https://bblais.github.io/power-unbalance.html,https://bblais.github.io/posts/2010/Oct/08/power-unbalance
https://bblais.github.io/why-pseudoscientists-like-the-chi-square-test-and-why-it-shouldnt-be-taught.html,https://bblais.github.io/posts/2010/Sep/01/why-pseudoscientists-like-the-chi-square-test-and-why-it-shouldnt-be-taught
https://bblais.github.io/god-and-hawking.html,https://bblais.github.io/posts/2010/Sep/12/god-and-hawking
https://bblais.github.io/multiple-model-comparisons-revisited.html,https://bblais.github.io/posts/2010/Sep/25/multiple-model-comparisons-revisited
https://bblais.github.io/about.html,https://bblais.github.io/posts/2010/Sep/27/about
https://bblais.github.io/mystery-knowledge-science-and-television.html,https://bblais.github.io/posts/2011/Aug/03/mystery-knowledge-science-and-television
https://bblais.github.io/conversation-with-steve-winsor.html,https://bblais.github.io/posts/2011/Dec/06/conversation-with-steve-winsor
https://bblais.github.io/whats-wrong-with-this.html,https://bblais.github.io/posts/2011/Dec/06/whats-wrong-with-this
https://bblais.github.io/things-science-cant-explain.html,https://bblais.github.io/posts/2011/Dec/09/things-science-cant-explain
https://bblais.github.io/more-fine-tuning-not.html,https://bblais.github.io/posts/2011/Dec/15/more-fine-tuning-not
https://bblais.github.io/presuppositionalism-vs-evidentialism.html,https://bblais.github.io/posts/2011/Dec/19/presuppositionalism-vs-evidentialism
https://bblais.github.io/closed-to-the-supernatural.html,https://bblais.github.io/posts/2011/Dec/20/closed-to-the-supernatural
https://bblais.github.io/the-bible-foreshadows-scientific-discoveries.html,https://bblais.github.io/posts/2011/Dec/22/the-bible-foreshadows-scientific-discoveries
https://bblais.github.io/einstein-and-the-motives-of-scientists.html,https://bblais.github.io/posts/2011/Dec/27/einstein-and-the-motives-of-scientists
https://bblais.github.io/the-world-is-flat.html,https://bblais.github.io/posts/2011/Feb/11/the-world-is-flat
https://bblais.github.io/bill-oreilly-tides-and-the-god-of-the-gaps.html,https://bblais.github.io/posts/2011/Feb/15/bill-oreilly-tides-and-the-god-of-the-gaps
https://bblais.github.io/the-role-of-humanity-into-the-future.html,https://bblais.github.io/posts/2011/Feb/16/the-role-of-humanity-into-the-future
https://bblais.github.io/20-years-of-being-an-atheist-ends-today.html,https://bblais.github.io/posts/2011/Feb/17/20-years-of-being-an-atheist-ends-today
https://bblais.github.io/wonders-in-science-2.html,https://bblais.github.io/posts/2011/Feb/18/wonders-in-science-2
https://bblais.github.io/creationism-and-strawmen.html,https://bblais.github.io/posts/2011/Feb/22/creationism-and-strawmen
https://bblais.github.io/does-watson-think.html,https://bblais.github.io/posts/2011/Feb/23/does-watson-think
https://bblais.github.io/a-reasonable-perspective-on-global-warming.html,https://bblais.github.io/posts/2011/Feb/24/a-reasonable-perspective-on-global-warming
https://bblais.github.io/wonders-in-science.html,https://bblais.github.io/posts/2011/Feb/25/wonders-in-science
https://bblais.github.io/francis-collins-science-and-religion-how-religion-halts-science.html,https://bblais.github.io/posts/2011/Jan/10/francis-collins-science-and-religion-how-religion-halts-science
https://bblais.github.io/religion-science-and-humility.html,https://bblais.github.io/posts/2011/Jan/14/religion-science-and-humility
https://bblais.github.io/predictions-for-the-australian-open.html,https://bblais.github.io/posts/2011/Jan/18/predictions-for-the-australian-open
https://bblais.github.io/a-modest-proposal-about-uncertainty.html,https://bblais.github.io/posts/2011/Jan/29/a-modest-proposal-about-uncertainty
https://bblais.github.io/the-economics-of-religion-more-good-than-harm.html,https://bblais.github.io/posts/2011/Jan/29/the-economics-of-religion-more-good-than-harm
https://bblais.github.io/science-and-attitudes-toward-criticism.html,https://bblais.github.io/posts/2011/Jul/26/science-and-attitudes-toward-criticism
https://bblais.github.io/knowledge-and-belief.html,https://bblais.github.io/posts/2011/Jul/27/knowledge-and-belief
https://bblais.github.io/climate-and-the-moon.html,https://bblais.github.io/posts/2011/Jul/28/climate-and-the-moon
https://bblais.github.io/reaping-the-benefits-of-science-while-hostile-to-science.html,https://bblais.github.io/posts/2011/Jun/02/reaping-the-benefits-of-science-while-hostile-to-science
https://bblais.github.io/religion-scripture-and-the-source-of-morality.html,https://bblais.github.io/posts/2011/Mar/08/religion-scripture-and-the-source-of-morality
https://bblais.github.io/energy-bracelet-experience.html,https://bblais.github.io/posts/2011/Mar/09/energy-bracelet-experience
https://bblais.github.io/frivolous-research-in-science.html,https://bblais.github.io/posts/2011/May/28/frivolous-research-in-science
https://bblais.github.io/language-of-science.html,https://bblais.github.io/posts/2011/Nov/07/language-of-science
https://bblais.github.io/offended-by-prayer-on-a-mural.html,https://bblais.github.io/posts/2011/Nov/07/offended-by-prayer-on-a-mural
https://bblais.github.io/a-sensible-post-on-climate-change-for-a-change.html,https://bblais.github.io/posts/2011/Nov/09/a-sensible-post-on-climate-change-for-a-change
https://bblais.github.io/best-evidence-for.html,https://bblais.github.io/posts/2011/Nov/29/best-evidence-for
